Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2025-07-29 00:00:00-04:00,191.88258292419434,195.36266032343974,191.53358770597436,195.19314575195312,41389200,0.0,0.0
2025-07-30 00:00:00-04:00,195.04360005779435,197.0379108346005,194.13618500265545,195.970947265625,32445400,0.0,0.0
2025-07-31 00:00:00-04:00,195.15328548422434,195.43248777249184,190.54641729704366,191.35411071777344,51329200,0.0,0.0
2025-08-01 00:00:00-04:00,188.49227361862017,190.2871562824159,187.28572417197353,188.5919952392578,34832200,0.0,0.0
2025-08-04 00:00:00-04:00,189.7486955367273,194.7145404143055,189.57918094353215,194.4851837158203,31547400,0.0,0.0
2025-08-05 00:00:00-04:00,194.1561209300893,197.2971541323202,193.33844625639603,194.11622619628906,31602300,0.0,0.0
2025-08-06 00:00:00-04:00,193.94670749735778,196.07065317332066,193.11906676548202,195.5321807861328,21562900,0.0,0.0
2025-08-07 00:00:00-04:00,196.49944049707085,196.97807082829456,193.77721051804474,195.9609832763672,26321800,0.0,0.0
2025-08-08 00:00:00-04:00,196.65896623314958,202.03363260270996,196.60910542589713,200.84701538085938,39161800,0.0,0.0
2025-08-11 00:00:00-04:00,200.36839577051538,200.90685295750995,198.50372015999918,200.42822265625,25832400,0.0,0.0
2025-08-12 00:00:00-04:00,200.7971688962253,203.9182700251912,200.01938893683175,202.76156616210938,30397900,0.0,0.0
2025-08-13 00:00:00-04:00,203.5493232968563,203.94817934449617,196.94814463612107,201.385498046875,28342900,0.0,0.0
2025-08-14 00:00:00-04:00,200.92679533252792,203.85843438375156,200.65755913802832,202.36270141601562,25230400,0.0,0.0
2025-08-15 00:00:00-04:00,203.270115954676,205.85274455493158,200.70741950553764,203.31996154785156,34931400,0.0,0.0
2025-08-18 00:00:00-04:00,203.61911775674488,204.68608127587706,201.91399064284568,202.92111206054688,18526600,0.0,0.0
2025-08-19 00:00:00-04:00,202.45245084896237,202.86128819689205,199.39119181596234,200.99661254882812,24240200,0.0,0.0
2025-08-20 00:00:00-04:00,200.15898342104597,200.70742189093835,196.04074228977996,198.7530059814453,28955500,0.0,0.0
2025-08-21 00:00:00-04:00,199.18179321289062,201.90402322277677,198.8626961782015,199.18179321289062,19774600,0.0,0.0
2025-08-22 00:00:00-04:00,202.15329588435108,207.9467659198768,200.7273710651735,205.5037384033203,42827000,0.0,0.0
2025-08-25 00:00:00-04:00,205.84278916147125,209.9211664546662,204.69606649727584,207.89694213867188,29928900,0.0,0.0
2025-08-26 00:00:00-04:00,206.91970861500775,207.25875300984708,205.11485980130033,206.55076599121094,28464100,0.0,0.0
2025-08-27 00:00:00-04:00,205.11485047791405,208.31572581537765,205.0649896678173,206.88978576660156,23022900,0.0,0.0
2025-08-28 00:00:00-04:00,206.66043741838072,211.61630051242363,206.31142697470574,211.03794860839844,32339300,0.0,0.0
2025-08-29 00:00:00-04:00,209.91116980825524,214.03939239893296,209.60205408045064,212.30435180664062,39728400,0.0,0.0
2025-09-02 00:00:00-04:00,207.84706876322787,211.0778424398192,205.61343524607918,210.74879455566406,47523000,0.0,0.0
2025-09-03 00:00:00-04:00,225.5665071716633,230.6519900738744,224.1505332557257,230.00384521484375,103336100,0.0,0.0
2025-09-04 00:00:00-04:00,228.996719869086,231.70898363627637,225.46679662750995,231.63919067382812,51684200,0.0,0.0
2025-09-05 00:00:00-04:00,231.53947436612376,235.08934505645462,231.24032471140728,234.33151245117188,46588900,0.0,0.0
2025-09-08 00:00:00-04:00,235.01017746372742,237.66498669397225,233.21368944217105,233.5829620361328,32474700,0.21,0.0
2025-09-09 00:00:00-04:00,233.71270408816554,240.00040430810463,232.7745373112583,239.16204833984375,38061000,0.0,0.0
2025-09-10 00:00:00-04:00,238.43344965061024,241.18806943420256,237.38551236319012,238.7029266357422,35141100,0.0,0.0
2025-09-11 00:00:00-04:00,239.41155563146188,241.77692250779666,235.78863959738683,239.9005889892578,30599300,0.0,0.0
2025-09-12 00:00:00-04:00,239.90060472674395,241.60727216892423,237.53523769524105,240.32977294921875,26771600,0.0,0.0
2025-09-15 00:00:00-04:00,244.18222746714693,251.91709313601174,244.18222746714693,251.11865234375,58383800,0.0,0.0
2025-09-16 00:00:00-04:00,251.58772669443232,252.54584342751238,248.98282303107263,250.66952514648438,34109700,0.0,0.0
2025-09-17 00:00:00-04:00,250.7294115061419,251.10867430438276,245.7990560449756,249.04270935058594,34108000,0.0,0.0
2025-09-18 00:00:00-04:00,251.18850393768201,253.4940056881638,249.312185617516,251.53782653808594,31239500,0.0,0.0
2025-09-19 00:00:00-04:00,252.75544937708653,255.50007913340238,251.3182589953225,254.2225799560547,55571400,0.0,0.0
2025-09-22 00:00:00-04:00,253.93314887572123,255.28051872493555,249.81122418035432,252.036865234375,32290500,0.0,0.0
2025-09-23 00:00:00-04:00,252.54585863312587,253.8632882566711,249.9908602190898,251.16856384277344,26628000,0.0,0.0
2025-09-24 00:00:00-04:00,251.1685566625181,251.8572116525034,245.95874917105462,246.65737915039062,28201000,0.0,0.0
2025-09-25 00:00:00-04:00,243.9227126560544,246.00864273328935,240.26987173165682,245.30999755859375,31020400,0.0,0.0
2025-09-26 00:00:00-04:00,246.58752699597628,248.93292875938775,245.4896689933639,246.0585479736328,18503200,0.0,0.0
2025-09-29 00:00:00-04:00,247.36600774683615,250.6595513653868,242.2959260790964,243.57342529296875,32505800,0.0,0.0
2025-09-30 00:00:00-04:00,242.33583244883135,242.81489082935371,238.7827869377237,242.62527465820312,34724300,0.0,0.0
2025-10-01 00:00:00-04:00,240.2798481454496,245.8190127995852,238.14402788220525,244.42173767089844,31658200,0.0,0.0
2025-10-02 00:00:00-04:00,244.6712510924991,246.32801300536266,241.82682587144092,245.210205078125,25483300,0.0,0.0
2025-10-03 00:00:00-04:00,244.0125741538274,245.8190372139174,241.18809864914257,244.8708953857422,30249600,0.0,0.0
2025-10-06 00:00:00-04:00,244.30200291397747,250.82924041118625,244.1023965111835,249.9409637451172,28894700,0.0,0.0
2025-10-07 00:00:00-04:00,247.78518329877946,249.95094390133718,245.04055349112926,245.2800750732422,23181300,0.0,0.0
